Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
249,Richmond,33,23,10,0.697,7.68,2.1,15,3,15,1,7,6,2372,2188,1325,874,1889,0.463,242,668,0.362,382,522,0.732,188,1081,436,220,97,285,468
250,Rider,32,15,17,0.469,-5.73,-4.28,12,8,9,4,6,12,2309,2308,1295,836,1921,0.435,182,540,0.337,455,608,0.748,362,1202,427,210,124,398,560
251,Robert Morris,32,10,22,0.313,-9.56,-4.29,6,14,7,9,3,13,2326,2425,1300,833,1927,0.432,273,812,0.336,387,540,0.717,391,1159,431,157,92,443,564
252,Rutgers,32,15,17,0.469,7.46,8.61,7,13,12,5,3,9,2092,2129,1285,750,1927,0.389,175,610,0.287,417,634,0.658,392,1188,377,247,167,365,541
253,Sacramento State,34,10,24,0.294,-10.86,-3.7,4,14,6,8,2,13,2282,2394,1360,798,1855,0.43,258,780,0.331,428,598,0.716,399,1209,444,178,93,495,577
254,Sacred Heart,32,16,16,0.5,-9.92,-9.46,10,6,11,5,4,11,2372,2313,1280,864,1898,0.455,237,650,0.365,407,586,0.695,300,1079,440,279,161,373,540
255,Saint Francis (PA),30,8,22,0.267,-18.6,-8.14,3,13,6,8,2,14,1955,2181,1205,713,1682,0.424,193,576,0.335,336,551,0.61,357,1038,367,178,107,412,532
256,Saint Joseph's,35,21,14,0.6,6.59,1.68,9,9,14,3,3,10,2641,2469,1410,928,2084,0.445,351,996,0.352,434,598,0.726,353,1253,513,247,133,401,534
257,Saint Louis,33,13,20,0.394,-1.56,4.16,5,13,8,8,3,9,2473,2620,1320,845,1873,0.451,259,705,0.367,524,699,0.75,287,1107,426,200,101,388,596
258,Saint Mary's (CA) NCAA,34,26,8,0.765,16.32,3.48,15,1,14,4,9,0,2516,2013,1370,936,2007,0.466,258,733,0.352,386,571,0.676,448,1345,550,223,130,347,556
